[order_id]
1
[pallet_quantity]
3
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
0	1200	800	1500	25000	635190
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1366164328	1.17347	29.0598
[item_quantity]
117
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
604	0	0	884	270	190	2	6	7000	0	0
884	0	0	1164	270	190	3	6	7000	0	0
304	256	0	604	512	168	4	68	7520	0	0
304	0	168	580	594	566	5	2	3180	0	0
0	155	0	304	310	170	6	82	880	0	0
604	270	0	788	474	120	7	25	3440	0	0
788	270	0	972	474	120	8	25	3440	0	0
972	270	0	1156	474	120	9	25	3440	0	0
0	310	0	304	465	170	10	82	880	0	0
0	465	0	304	620	170	11	82	880	0	0
304	512	0	604	768	168	12	68	7520	0	0
0	620	0	304	775	170	13	82	880	0	0
0	0	170	300	256	338	14	67	7520	0	0
0	256	170	300	512	338	15	67	7520	0	0
0	512	170	300	768	338	16	67	7520	0	0
580	0	190	888	256	362	17	66	7200	0	0
604	270	120	788	474	240	18	25	3440	0	0
888	0	190	1196	256	362	19	66	7200	0	0
788	270	120	972	474	240	20	25	3440	0	0
972	270	120	1156	474	240	21	25	3440	0	0
166	0	338	298	382	596	22	47	1400	0	0
166	398	338	286	598	468	23	18	2170	0	0
166	398	468	286	598	598	24	19	2170	0	0
0	0	338	166	582	734	25	5	2520	0	0
166	0	596	290	368	722	26	100	500	0	0
166	398	598	286	598	728	27	15	2170	0	0
312	0	566	588	594	964	28	3	3180	0	0
588	0	362	996	244	764	29	4	2700	0	0
580	256	240	850	492	398	30	118	6280	0	0
304	596	168	590	800	394	31	8	7400	0	0
588	244	398	990	470	678	32	136	4500	0	0
996	0	362	1198	302	520	33	90	8700	0	0
850	304	240	1152	506	398	34	71	8700	0	0
604	506	0	1200	800	398	35	1	2960	0	0
990	302	398	1162	498	510	36	23	2100	0	0
582	512	398	790	800	524	37	33	8220	0	0
589	270	678	991	450	980	38	85	3100	0	0
996	0	520	1176	400	722	39	138	1240	0	0
790	512	398	998	800	524	40	33	8220	0	0
604	472	524	978	800	711	41	94	13120	0	0
998	498	398	1200	800	556	42	71	8700	0	0
280	598	394	582	800	552	43	89	8700	0	0
0	610	338	280	800	503	44	22	3060	0	0
302	598	552	604	800	710	45	69	8700	0	0
0	610	503	280	800	668	46	22	3060	0	0
588	0	764	908	270	924	47	24	9210	0	0
589	0	924	995	226	1206	48	52	6000	0	0
996	0	722	1192	352	960	49	131	10540	0	0
589	450	711	1019	800	1026	50	42	15420	0	0
1019	400	556	1199	800	758	51	137	1240	0	0
331	0	964	589	304	1140	52	55	7180	0	0
331	304	964	589	608	1140	53	55	7180	0	0
0	0	734	312	598	1130	54	0	3800	0	0
302	610	710	582	800	875	55	22	3060	0	0
0	598	668	302	800	826	56	70	8700	0	0
0	598	826	302	800	984	57	70	8700	0	0
589	226	980	957	350	1106	58	100	500	0	0
589	226	1106	957	350	1232	59	100	500	0	0
995	0	960	1195	350	1195	60	132	10180	0	0
304	610	875	584	800	1040	61	22	3060	0	0
589	356	1026	993	578	1310	62	115	5740	0	0
589	578	1026	993	800	1310	63	116	5740	0	0
1019	396	758	1199	800	1064	64	107	3120	0	0
993	358	1064	1183	510	1186	65	10	600	0	0
993	510	1064	1193	800	1184	66	129	6360	0	0
331	0	1140	589	304	1316	67	56	7180	0	0
331	304	1140	589	608	1316	68	56	7180	0	0
0	0	1130	331	374	1410	69	17	19590	0	0
304	610	1040	584	800	1205	70	21	3060	0	0
304	610	1205	584	800	1370	71	21	3060	0	0
0	381	1130	304	645	1306	72	133	7840	0	0
0	645	984	304	800	1154	73	81	880	0	0
331	0	1316	589	304	1492	74	57	7180	0	0
589	0	1206	995	226	1488	75	52	6000	0	0
331	304	1316	589	608	1492	76	57	7180	0	0
589	226	1232	955	342	1498	77	92	6960	0	0
589	348	1310	985	574	1488	78	7	2900	0	0
995	0	1195	1177	402	1499	79	53	3200	0	0
993	418	1186	1181	552	1372	80	77	520	0	0
589	574	1310	985	800	1488	81	7	2900	0	0
993	552	1184	1171	800	1364	82	80	1960	0	0
304	610	1370	512	800	1494	83	72	4420	0	0
985	402	1372	1193	592	1496	84	72	4420	0	0
985	592	1364	1175	800	1488	85	72	4420	0	0
0	0	1410	288	168	1496	86	96	360	0	0
0	168	1410	288	336	1496	87	95	360	0	0
0	375	1306	280	645	1496	88	6	7000	0	0
0	645	1154	304	800	1324	89	81	880	0	0
0	645	1324	304	800	1494	90	81	880	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
2	1200	800	898	25000	315050
[total_volume 	 total_occupied_volume 	 m1 	 m2]
862080000	682878994	1.15385	33.3333
[item_quantity]
66
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	146	398	202	0	73	5440	0	0
146	0	0	406	304	174	1	60	7180	0	0
406	0	0	590	404	118	2	83	2740	0	0
590	0	0	774	404	118	3	83	2740	0	0
774	0	0	958	404	118	4	83	2740	0	0
406	0	118	730	374	304	5	16	12400	0	0
730	0	118	905	410	263	6	106	4800	0	0
958	0	0	1186	250	166	7	31	6440	0	0
958	250	0	1165	414	142	8	126	480	0	0
146	304	0	342	476	112	9	23	2100	0	0
920	420	0	1200	610	165	10	21	3060	0	0
690	477	0	920	800	150	11	86	7500	0	0
460	477	0	690	800	150	12	86	7500	0	0
230	477	0	460	800	150	13	86	7500	0	0
0	477	0	230	800	150	14	86	7500	0	0
920	610	0	1200	800	165	15	21	3060	0	0
728	510	150	888	800	280	16	28	6640	0	0
905	0	166	1171	304	344	17	130	7840	0	0
905	320	165	1155	560	315	18	122	7680	0	0
905	560	165	1180	800	330	19	14	4200	0	0
312	0	304	828	112	514	20	93	3280	0	0
616	112	304	784	376	389	21	12	3100	0	0
312	112	304	616	376	480	22	134	7840	0	0
180	0	174	312	382	432	23	48	1400	0	0
728	510	280	888	800	410	24	28	6640	0	0
408	495	150	728	620	360	25	32	7420	0	0
408	620	150	728	800	340	26	76	8410	0	0
182	476	150	408	800	302	27	88	7080	0	0
0	0	202	180	320	392	28	76	8410	0	0
0	536	150	168	800	235	29	13	3100	0	0
828	0	344	1054	404	484	30	103	5280	0	0
828	0	484	1053	390	774	31	49	3040	0	0
1054	0	344	1200	398	546	32	74	5440	0	0
420	0	514	820	150	714	33	111	5720	0	0
420	150	480	724	408	656	34	58	7180	0	0
180	0	432	304	368	558	35	100	500	0	0
639	248	656	803	455	798	36	125	480	0	0
180	0	558	420	250	708	37	91	7680	0	0
0	0	392	180	320	582	38	76	8410	0	0
362	428	360	686	654	512	39	87	7160	0	0
362	654	340	662	800	588	40	120	7620	0	0
182	398	302	362	800	604	41	84	3100	0	0
0	398	235	182	800	539	42	54	3200	0	0
381	418	512	571	570	634	43	11	600	0	0
728	510	410	888	800	540	44	28	6640	0	0
888	458	330	1182	800	526	45	20	11260	0	0
817	0	774	975	374	894	46	112	3060	0	0
1053	0	546	1185	382	804	47	46	1400	0	0
639	0	714	817	248	894	48	97	1960	0	0
381	570	588	621	800	778	49	127	6850	0	0
728	510	540	888	800	670	50	28	6640	0	0
621	496	670	879	800	846	51	58	7180	0	0
888	470	526	1124	800	684	52	62	7300	0	0
335	0	714	639	260	888	53	59	7180	0	0
335	260	656	635	392	826	54	50	1500	0	0
180	0	708	335	304	878	55	81	880	0	0
0	0	582	180	320	772	56	76	8410	0	0
381	426	778	539	800	898	57	113	3060	0	0
155	404	604	381	800	782	58	7	2900	0	0
0	496	539	155	800	709	59	81	880	0	0
0	0	772	124	368	898	60	100	500	0	0
155	622	782	355	800	882	61	124	620	0	0
0	496	709	155	800	879	62	81	880	0	0
975	0	804	1141	288	890	63	114	360	0	0
879	400	684	1049	800	844	64	102	3200	0	0
1049	424	684	1159	800	884	65	75	760	0	0
